How and what university students learn through online and face-to-face discussion: conceptions,  intentions and approaches
The Sorcerer II Global Ocean Sampling expedition: northwest Atlantic through eastern tropical Pacific., The world's oceans contain a complex mixture of micro-organisms that are for the most part
An experimental study of the emergence of human communication systems, The emergence of human communication systems is typically investigated via 2 approaches with complementary strengths and weaknesses: naturalistic studies and computer simulations. This study was conducted with a method that combines these approaches. Pairs of participants played video games requiring communication. Members of a pair were physically separated but exchanged graphic signals through a medium that prevented the use of standard symbols (e.g.
A survey of DNA motif finding algorithms., BACKGROUND: Unraveling the mechanisms that regulate gene expression is a major challenge in biology. An important task in this challenge is to identify regulatory elements
Sensitivity of Systematic Reserve Selection to Decisions about Scale,  Biological Data
Reactome knowledgebase of human biological pathways and processes., Reactome (http://www.reactome.org) is an expert-authored
Developing multiagent systems: The Gaia methodology, Systems composed of interacting autonomous agents offer a promising software engineering approach for developing applications in complex domains. However
Identifying differentially expressed genes using false discovery rate controlling procedures., MOTIVATION: DNA microarrays have recently been used for the purpose of monitoring expression levels of thousands of genes simultaneously and identifying those genes that are differentially expressed. The probability that a false identification (type I error) is committed can increase sharply when the number of tested genes gets large. Correlation between the test statistics attributed to gene co-regulation and dependency in the measurement errors of the gene expression levels further complicates the problem. In this paper we address this very large multiplicity problem by adopting the false discovery rate (FDR) controlling approach. In order to address the dependency problem
Rich interaction in the digital library, Effective information access involves rich interactions between users and information residing in diverse locations. Users seek and retrieve information from the sources鈥攆or example
Analysis of a very large web search engine query log, In this paper we present an analysis of an AltaVista Search Engine query log consisting of approximately 1 billion entries for search requests over a period of six weeks. This represents almost 285 million user sessions
An introduction to categorical data analysis, Concise
A survey of content based 3D shape retrieval methods, Recent developments in techniques for modeling
Why a Diagram is (Sometimes) Worth Ten Thousand Words, {W}e distinguish diagrammatic from sentential paper-and-pencil representations of information by developing alternative models of information-processing systems that are informationally equivalent and that can be characterized as sentential or diagrammatic. {S}entential representations are sequential
Personal privacy through understanding and action: five pitfalls for designers, To participate in meaningful privacy practice in the context of technical systems
Memento: Time Travel for the Web, The Web is ephemeral. Many resources have representations that change over time
Arabidopsis gene co-expression network and its functional modules, ABSTRACT: BACKGROUND: Biological networks characterize the interactions of biomolecules at a systems-level. One important property of biological networks is the modular structure
Is Learning The $n$-th Thing Any Easier Than Learning The First?, This paper investigates learning in a lifelong context. Lifelong learning addresses situations in which a learner faces a whole stream of learning tasks. Such scenarios provide the opportunity to transfer knowledge across multiple learning tasks
Modern information retrieval: A brief overview, For thousands of years people have realized the importance of archiving and finding information. With the advent of computers
A High-Performance Semi-Supervised Learning Method for Text Chunking, In machine learning
Local modeling of global interactome networks., {MOTIVATION: Systems biology requires accurate models of protein complexes
LookSeq: a browser-based viewer for deep sequencing data., Sequencing a genome to great depth can be highly informative about heterogeneity within an individual or a population. Here we address the problem of how to visualize the multiple layers of information contained in deep sequencing data. We propose an interactive AJAX-based web viewer for browsing large datasets of aligned sequence reads. By enabling seamless browsing and fast zooming
Visual objects in context., We see the world in scenes
SubpathwayMiner: a software package for flexible identification of pathways, With the development of high-throughput experimental techniques such as microarray
Web Data Mining: Exploring Hyperlinks,  Contents
Organizational learning and communities-of-practice: Toward a unified view of working,  learning
Assessing the Value of Coooperation in Wikipedia, Since its inception six years ago
How to identify essential genes from molecular networks?, BACKGROUND: The prediction of essential genes from molecular networks is a way to test the understanding of essentiality in the context of what is known about the network. However
Evolution by gene duplication: an update, The importance of gene duplication in supplying raw genetic material to biological evolution has been recognized since the 1930s. Recent genomic sequence data provide substantial evidence for the abundance of duplicated genes in all organisms surveyed. But how do newly duplicated genes survive and acquire novel functions
What's wrong with Bonferroni adjustments, When more than one statistical test is performed in analysing the data from a clinical study
Bacterial persistence: a model of survival in changing environments., The persistence phenotype is an epigenetic trait exhibited by a subpopulation of bacteria
Fast and reliable prediction of noncoding RNAs., We report an efficient method for detecting functional RNAs. The approach
The Character,  Functions
Toward Evidence-Based Medical Statistics. 1: The P Value Fallacy, An important problem exists in the interpretation of modern medical research data: Biological understanding and previous research play little formal role in the interpretation of quantitative results. This phenomenon is manifest in the discussion sections of research articles and ultimately can affect the reliability of conclusions. The standard statistical approach has created this situation by promoting the illusion that conclusions can be produced with certain 鈥渆rror rates
Statistical practice in high-throughput screening data analysis., High-throughput screening is an early critical step in drug discovery. Its aim is to screen a large number of diverse chemical compounds to identify candidate 'hits' rapidly and accurately. Few statistical tools are currently available
BioContrasts: extracting and exploiting protein-protein contrastive relations from biomedical literature., Motivation: Contrasts are useful conceptual vehicles for learning processes and exploratory research of the unknown. For example
Learning User Interaction Models for Predicting Web Search Result Preferences, Evaluating user preferences of web search results is crucial for search engine development
A Bayesian approach to reconstructing genetic regulatory networks with hidden factors, Motivation: We have used state-space models (SSMs) to reverse engineer transcriptional networks from highly replicated gene expression profiling time series data obtained from a well-established model of T cell activation. SSMs are a class of dynamic Bayesian networks in which the observed measurements depend on some hidden state variables that evolve according to Markovian dynamics. These hidden variables can capture effects that cannot be directly measured in a gene expression profiling experiment
How does clickthrough data reflect retrieval quality?, Automatically judging the quality of retrieval functions based on observable user behavior holds promise for making retrieval evaluation faster
A metrics suite for object oriented design, Given the central role that software development plays in the delivery and application of information technology
Evolutionary Conditions for the Emergence of Communication in Robots, Summary Information transfer plays a central role in the biology of most organisms
Identification and analysis of miRNAs in human breast cancer and teratoma samples using deep sequencing., BACKGROUND: MiRNAs play important roles in cellular control and in various disease states such as cancers
Predicting functionally important residues from sequence conservation, Motivation: All residues in a protein are not equally important. Some are essential for the proper structure and function of the protein
Schemes of flux control in a model of Saccharomyces cerevisiae glycolysis., We used parameter scanning to emulate changes to the limiting rate for steps in a fitted model of glucose-derepressed yeast glycolysis. Three flux-control regimes were observed
The Theory of Incentives: The Principal-agent Model, {Economics has much to do with incentives--not least
Comparative genome sequencing of Drosophila pseudoobscura: chromosomal,  gene
Measuring consciousness: relating behavioural and neurophysiological approaches,  The resurgent science of consciousness has been accompanied by a recent emphasis on the problem of measurement. Having dependable measures of consciousness is essential both for mapping experimental evidence to theory and for designing perspicuous experiments. Here
A distal enhancer and an ultraconserved exon are derived from a novel retroposon., Hundreds of highly conserved distal cis-regulatory elements have been characterized so far in vertebrate genomes. Many thousands more are predicted on the basis of comparative genomics. However
Typed memory management via static capabilities, Region-based memory management is an alternative to standard tracing garbage collection that makes operation such as memory deallocation explicit but verifiably safe. In this article
MScanner: a classifier for retrieving Medline citations, ABSTRACT: BACKGROUND: Keyword searching through PubMed and other systems is the standard means of retrieving information from Medline. However
Comparison of automated docking programs as virtual screening tools., The performance of several commercially available docking programs is compared in the context of virtual screening. Five different protein targets are used
Protein Molecular Function Prediction by Bayesian Phylogenomics, We present a statistical graphical model to infer specific molecular function for unannotated protein sequences using homology. Based on phylogenomic principles
Intrinsic noise in gene regulatory networks, 10.1073/pnas.151588598 Cells are intrinsically noisy biochemical reactors: low reactant numbers can lead to significant statistical fluctuations in molecule numbers and reaction rates. Here we use an analytic model to investigate the emergent noise properties of genetic systems. We find for a single gene that noise is essentially determined at the translational level
Mammalian microRNAs derived from genomic repeats,  In this article
Informal learning and identity formation in online social networks, All students today are increasingly expected to develop technological fluency
PISCES: recent improvements to a PDB sequence culling server, PISCES is a database server for producing lists of sequences from the Protein Data Bank (PDB) using a number of entry- and chain-specific criteria and mutual sequence identity. Our goal in culling the PDB is to provide the longest list possible of the highest resolution structures that fulfill the sequence identity and structural quality cut-offs. The new PISCES server uses a combination of PSI-BLAST and structure-based alignments to determine sequence identities. Structure alignment produces more complete alignments and therefore more accurate sequence identities than PSI-BLAST. PISCES now allows a user to cull the PDB by-entry in addition to the standard culling by individual chains. In this scenario
Structural diversity of G protein-coupled receptors and significance for drug discovery, G protein-coupled receptors (GPCRs) are the largest family of membrane-bound receptors and also the targets of many drugs. Understanding of the functional significance of the wide structural diversity of GPCRs has been aided considerably in recent years by the sequencing of the human genome and by structural studies
Coloured Petri Nets and CPN Tools for modelling and validation of concurrent systems, Abstract&nbsp;&nbsp;Coloured Petri Nets (CPNs) is a language for the modelling and validation of systems in which concurrency
Online Selection of Discriminative Tracking Features, This paper presents an online feature selection mechanism for evaluating multiple features while tracking and adjusting the set of features used to improve tracking performance. Our hypothesis is that the features that best discriminate between object and background are also best for tracking the object. Given a set of seed features
Horizontal Gene Transfer of the Secretome Drives the Evolution of Bacterial Cooperation and Virulence,  SummaryBackgroundMicrobes engage in a remarkable array of cooperative behaviors
Some(What) Grand Challenges for Information Retrieval, Although we see the positive results of information retrieval research embodied throughout the Internet
A kernel view of the dimensionality reduction of manifolds, We interpret several well-known algorithms for dimensionality reduction  of manifolds as kernel methods. Isomap
High resolution analysis of DNA copy number variation using comparative genomic hybridization to microarrays, Gene dosage variations occur in many diseases. In cancer
Dynamic personalities of proteins, Because proteins are central to cellular function
Protein production and purification, NOTE: In the version of this Review initially published
An analysis of determinants of amino acids substitution rates in bacterial proteins., The variation of amino acid substitution rates in proteins depends on several variables. Among these
Phylogenetic distances are encoded in networks of interacting pathways., MOTIVATION: Although metabolic reactions are unquestionably shaped by evolutionary processes
The value of the world's ecosystem services and natural capital, The services of ecological systems and the natural capital stocks that produce them are critical to the functioning of the Earth's life-support system. They contribute to human welfare
Does Training in Second-Language Word Recognition Skills Affect Reading Comprehension? An Experimental Study, Two classroom-based experiments investigated automatization of lexical access in a second language (L2) with a computer-based training
The Band Theory of Graphite, The structure of the electronic energy bands and Brillouin zones for graphite is developed using the ``tight binding'' approximation. Graphite is found to be a semi-conductor with zero activation energy
One-class svms for document classification, We implemented versions of the SVM appropriate for one-class classification in the context of information retrieval. The experiments were conducted on the standard Reuters data set. For the SVM implementation we used both a version of Sch{\""o}lkopf et al. and a somewhat different version of one-class SVM based on identifying ""outlier"" data as representative of the second-class. We report on experiments with different kernels for both of these implementations and with different representations of the data
Graphene-based composite materials, Graphene sheets鈥攐ne-atom-thick two-dimensional layers of sp2-bonded carbon鈥攁re predicted to have a range of unusual properties. Their thermal conductivity and mechanical stiffness may rival the remarkable in-plane values for graphite (approx3
A Graph-based Recommender System for Digital Library, Research shows that recommendations comprise a valuable service for users of a digital library [11]. While most existing recommender systems rely either on a content-based approach or a collaborative approach to make recommendations
Protein interactions and ligand binding: from protein subfamilies to functional specificity., The divergence accumulated during the evolution of protein families translates into their internal organization as subfamilies
Plans and Situated Actions, {This book considers how agencies are currently figured at the human-machine interface
Gene networks in Drosophila melanogaster: integrating experimental data to predict gene function., BACKGROUND : Discovering the functions of all genes is a central goal of contemporary biomedical research. Despite considerable effort
Large-Scale Discovery of Promoter Motifs in Drosophila melanogaster, A key step in understanding gene regulation is to identify the repertoire of transcription factor binding motifs (TFBMs) that form the building blocks of promoters and other regulatory elements. Identifying these experimentally is very laborious
What memory is for, Let鈥檚 start from scratch in thinking about what memory is for
The meaning of gene positioning., Arguably one of the most important and tantalizing recent discoveries in the field of genome biology has been the realization that genomes are nonrandomly organized within the cell nucleus of higher eukaryotes (Misteli
Coherence in Spontaneous Radiation Processes, By considering a radiating gas as a single quantum-mechanical system
Current-generation high-throughput sequencing: deepening insights into mammalian transcriptomes., Recent papers have described the first application of high-throughput sequencing (HTS) technologies to the characterization of transcriptomes. These studies emphasize the tremendous power of this new technology
Automation of in-silico data analysis processes through workflow management systems., Data integration is needed in order to cope with the huge amounts of biological information now available and to perform data mining effectively. Current data integration systems have strict limitations
Optimistic Replication, Data replication is a key technology in distributed data sharing systems
A Quantitative Description of Membrane Current and its Application to Conduction and Excitation in Nerve, Abstract&nbsp;&nbsp;This article concludes a series of papers concerned with the flow of electric current through the surface membrane of a giant nerve fibre (Hodgkinet al.
Combining the language model and inference network approaches to retrieval, The inference network retrieval model
Automatic identification of user goals in Web search, There have been recent interests in studying the &#034;goal&#034; behind a user&#039;s Web query
A detailed comparison of current docking and scoring methods on systems of pharmaceutical relevance, Abstract 10.1002/prot.20088.abs A thorough evaluation of some of the most advanced docking and scoring methods currently available is described
Evaluation of GO-based functional similarity measures using S. cerevisiae protein interaction and expression profile data., BACKGROUND: Researchers interested in analysing the expression patterns of functionally related genes usually hope to improve the accuracy of their results beyond the boundaries of currently available experimental data. Gene ontology (GO) data provides a novel way to measure the functional relationship between gene products. Many approaches have been reported for calculating the similarities between two GO terms
The information-seeking practices of engineers: searching for documents as well as for people, Engineers get most of their information from colleagues and internal reports. This study investigates how engineers鈥?information-seeking practices intertwine looking for informing documents with looking for informed people. Based on case studies in two product-development organisations we find that engineers search for documents to find people
Virus-induced gene silencing in plants, Virus-induced gene silencing (VIGS) is a technology that exploits an RNA-mediated antiviral defense mechanism. In plants infected with unmodified viruses the mechanism is specifically targeted against the viral genome. However
Mapping short DNA sequencing reads and calling variants using mapping quality scores, New sequencing technologies promise a new era in the use of DNA sequence. However
Protein interactions and disease: computational approaches to uncover the etiology of diseases, The genomic era has been characterised by vast amounts of data from diverse sources
Evolution of gene expression in the Drosophila melanogaster subgroup, Little is known about broad patterns of variation and evolution of gene expression during any developmental process. Here we investigate variation in genome-wide gene expression among Drosophila simulans
Handbook of Metaheuristics, <P><STRONG>The Handbook of Metaheuristics</STRONG> provides both the research and practitioner communities with a comprehensive coverage of the metaheuristic methodologies that have proven to be successful in a wide variety of real-world problem settings. Moreover
Reporting and Interpretation of Randomized Controlled Trials With Statistically Nonsignificant Results for Primary Outcomes, Context  Previous studies indicate that the interpretation of trial results can be distorted by authors of published reports.  Objective  To identify the nature and frequency of distorted presentation or ""spin"" (ie
The effects of human population structure on large genetic association studies., Large-scale association studies hold substantial promise for unraveling the genetic basis of common human diseases. A well-known problem with such studies is the presence of undetected population structure
A computational procedure for determining energetically favorable binding sites on biologically important macromolecules., The interaction of a probe group with a protein of known structure is computed at sample positions throughout and around the macromolecule
The emergence of linguistic structure: An overview of the iterated learning model, Introduction  As language users humans possess a culturally transmitted system of unparalleled complexity in the natural world. Linguistics has revealed over the past 40 years the degree to which the syntactic structure of language in particular is strikingly complex. Furthermore
Language,  music
Exploring the conditional coregulation of yeast gene expression through fuzzy k-means clustering, BACKGROUND: Organisms simplify the orchestration of gene expression by coregulating genes whose products function together in the cell. Many proteins serve different roles depending on the demands of the organism
Light Microscopy Techniques for Live Cell Imaging, Since the earliest examination of cellular structures
Representing control in the presence of first-class continuations, Languages such as Scheme and Smalltalk that provide continuations as first-class data objects present a challenge to efficient implementation. Allocating activation records in a heap has proven unsatisfactory because of increased frame linkage costs
Make new friends,  but keep the old: recommending people on social networking sites
Toward accurate reconstruction of functional protein networks, Genome-scale screening studies are gradually accumulating a wealth of data on the putative involvement of hundreds of genes/proteins in various cellular responses or functions. A fundamental challenge is to chart out the protein pathways that underlie these systems. Previous approaches to the problem have either employed a local optimization criterion
AutoDock Vina: Improving the speed and accuracy of docking with a new scoring function,  efficient optimization
The Struggle to Govern the Commons, Human institutions--ways of organizing activities--affect the resilience of the environment. Locally evolved institutional arrangements governed by stable communities and buffered from outside forces have sustained resources successfully for centuries
Introduction to Supersymmetry, These are expanded notes of lectures given at the summer school ""Gif 2000"" in Paris. They constitute the first part of an ""Introduction to supersymmetry and supergravity"" with the second part on supergravity by J.-P. Derendinger to appear soon. The present introduction is elementary and pragmatic. I discuss: spinors and the Poincar\'e group
Empirical force fields for biological macromolecules: Overview and issues, Empirical force field-based studies of biological macromolecules are becoming a common tool for investigating their structure-activity relationships at an atomic level of detail. Such studies facilitate interpretation of experimental data and allow for information not readily accessible to experimental methods to be obtained. A large part of the success of empirical force field-based methods is the quality of the force fields combined with the algorithmic advances that allow for more accurate reproduction of experimental observables. Presented is an overview of the issues associated with the development and application of empirical force fields to biomolecular systems. This is followed by a summary of the force fields commonly applied to the different classes of biomolecules; proteins
Stochastic protein expression in individual cells at the single molecule level, In a living cell
Exploring the common dynamics of homologous proteins. Application to the globin family., We present a procedure to explore the global dynamics shared between members of the same protein family. The method allows the comparison of patterns of vibrational motion obtained by Gaussian network model analysis. After the identification of collective coordinates that were conserved during evolution
From the Cover: A latitudinal diversity gradient in planktonic marine bacteria, For two centuries
Pedagogical Design of Computer Mediated Communication Tasks: Learning Objectives and Technological Capabilities, 			It has been claimed that the recent emergence of internet-based communication constitutes a technological innovation with the potential to create a paradigmatic shift in teaching and learning second languages (e.g.
Nominalization and Alternations in Biomedical Language, BACKGROUND: This paper presents data on alternations in the argument structure of common domain-specific verbs and their associated verbal nominalizations in the PennBioIE corpus. Alternation is the term in theoretical linguistics for variations in the surface syntactic form of verbs
A Bivalent Chromatin Structure Marks Key Developmental Genes in Embryonic Stem Cells,  Summary The most highly conserved noncoding elements (HCNEs) in mammalian genomes cluster within regions enriched for genes encoding developmentally important transcription factors (TFs). This suggests that HCNE-rich regions may contain key regulatory controls involved in development. We explored this by examining histone methylation in mouse embryonic stem (ES) cells across 56 large HCNE-rich loci. We identified a specific modification pattern
R-trees: a dynamic index structure for spatial searching, In order to handle spatial data efficiently
Precise Temporal Modulation in the Response of the SOS DNA Repair Network in Individual Bacteria, The SOS genetic network is responsible for the repair/bypass of DNA damage in bacterial cells. While the initial stages of the response have been well characterized
The effects of animated characters on anxiety,  task performance
Designing Information Spaces: The Social Navigation Approach, {This volume provides a thoroughly up-to-date guide to the use of the Social Navigation approach in designing information spaces. The first part focuses on real life systems such as Kalas
Finding community structure in networks using the eigenvectors of matrices, We consider the problem of detecting communities or modules in networks
Meeting the needs of remote library users, Many higher education institutions now offer virtual delivery of academic programs via the Internet and the World Wide Web
Toll-like receptors and innate immunity., The innate immune system is an evolutionally conserved host defense mechanism against pathogens. Innate immune responses are initiated by pattern recognition receptors (PRRs)
Random sample consensus: a paradigm for model fitting with applications to image analysis and automated cartography, A new paradigm
The Properties of Known Drugs. 1. Molecular Frameworks, PMID: 8709122 In order to better understand the common features present in drug molecules
Genome-wide association studies: progress and potential for drug discovery and development, Although genetic studies have been critically important for the identification of therapeutic targets in Mendelian disorders
The Network Structure of Social Capital, This is a position paper on the network structure of social capital. In addition to conclusions about specific aspects of theory and research
Emotion and Motivation I: Defensive and Appetitive Reactions in Picture Processing,
The modern theory of biological evolution: an expanded synthesis, In 1858
Annealed importance sampling, Abstract. Simulated annealing--- moving from a tractable distribution to a distribution of interest via a sequence of intermediate distributions--- has traditionally been used as an inexact method of handling isolated modes in Markov chain samplers. Here
Neural population codes., In many regions of the brain
integrOmics: an R package to unravel relationships between two omics datasets., MOTIVATION: With the availability of many 'omics' data
Simulation of networks of spiking neurons: A review of tools and strategies, Abstract&nbsp;&nbsp;We review different aspects of the simulation of spiking neural networks. We start by reviewing the different types of simulation strategies and algorithms that are currently implemented. We next review the precision of those simulation strategies
Entanglement and the Foundations of Statistical Mechanics, Statistical mechanics is one of the most successful areas of physics. Yet
BreakDancer: an algorithm for high-resolution mapping of genomic structural variation, Detection and characterization of genomic structural variation are important for understanding the landscape of genetic variation in human populations and in complex diseases such as cancer. Recent studies demonstrate the feasibility of detecting structural variation using next-generation
Writing Effective Use Cases, {Alistair Cockburn's <I>Writing Effective Use Cases</I> is an approachable
The 鈥榙igital natives鈥?debate: A critical review of the evidence, The idea that a new generation of students is entering the education system has excited recent attention among educators and education commentators. Termed 芒鈧渄igital natives芒鈧劉 or the 芒鈧淣et generation芒鈧劉
Reward-Dependent Modulation of Neuronal Activity in the Primate Dorsal Raphe Nucleus, The dopamine system has been thought to play a central role in guiding behavior based on rewards. Recent pharmacological studies suggest that another monoamine neurotransmitter
Mobile phones and paper documents: evaluating a new approach for capturing microfinance data in rural India, CAM is a user interface toolkit that allows a camera-equipped mobile phone to interact with paper documents. It is designed to automate inefficient
Statistical mechanics of cellular automata, Cellular automata are used as simple mathematical models to investigate self-organization in statistical mechanics. A detailed analysis is given of ``elementary'' cellular automata consisting of a sequence of sites with values 0 or 1 on a line
Why Isn't Everyone a Bayesian?, Originally a talk delivered at a conference on Bayesian statistics
Robustness Can Evolve Gradually in Complex Regulatory Gene Networks with Varying Topology, The topology of cellular circuits (the who-interacts-with-whom) is key to understand their robustness to both mutations and noise. The reason is that many biochemical parameters driving circuit behavior vary extensively and are thus not fine-tuned. Existing work in this area asks to what extent the function of any one given circuit is robust. But is high robustness truly remarkable
Birth of a chimeric primate gene by capture of the transposase gene from a mobile element., The emergence of new genes and functions is of central importance to the evolution of species. The contribution of various types of duplications to genetic innovation has been extensively investigated. Less understood is the creation of new genes by recycling of coding material from selfish mobile genetic elements. To investigate this process
Microbial population structures in the deep marine biosphere., The analytical power of environmental DNA sequences for modeling microbial ecosystems depends on accurate assessments of population structure
The peculiar velocity field: constraining the tilt of the Universe, A large bulk flow
Comprehensive splice-site analysis using comparative genomics., We have collected over half a million splice sites from five species-Homo sapiens
A Hierarchy of Temporal Receptive Windows in Human Cortex, Real-world events unfold at different time scales and
Adaptive routing for intermittently connected mobile ad hoc networks, The vast majority of mobile ad hoc networking research makes a very large assumption - that communication can only take place between nodes that are simultaneously accessible within the same connected cloud (i.e.
The paradoxical future of digital learning, Abstract&nbsp;&nbsp;What constitutes learning in the 21st century will be contested terrain as our society strives toward post-industrial forms of knowledge acquisition and production without having yet overcome the educational contradictions and failings of the industrial age. Educational reformers suggest that the advent of new technologies will radically transform what people learn
Human protein reference database--2006 update., Human Protein Reference Database (HPRD--http://www.hprd.org/)
MicroRNAs and cancer鈥攏ew paradigms in molecular oncology,  The 鈥榗lassic鈥?view of molecular oncology indicates that cancer is a genetic disease involving tumor suppressor and oncogenic proteins. However
Personalization in distributed e-learning environments, Personalized support for learners becomes even more important
Mining the biomedical literature in the genomic era: an overview., The past decade has seen a tremendous growth in the amount of experimental and computational biomedical data
Inferring pathway activity toward precise disease classification., The advent of microarray technology has made it possible to classify disease states based on gene expression profiles of patients. Typically
SkipNet: A Scalable Overlay Network with Practical Locality Properties, Scalable overlay networks such as Chord
Fast approximate energy minimization via graph cuts, Many tasks in computer vision involve assigning a label (such as disparity) to every pixel. A common constraint is that the labels should vary smoothly almost everywhere while preserving sharp discontinuities that may exist
The Influence of Incentives and Culture on Knowledge Sharing, A major challenge in knowledge management involves motivating people to share their knowledge with others. In many modern knowledge-oriented companies
Integrating collaborative tagging and emergent semantics for image retrieval, In this paper
Evolution and Selection in Yeast Promoters: Analyzing the Combined Effect of Diverse Transcription Factor Binding Sites, In comparative genomics one analyzes jointly evolutionarily related species in order to identify conserved and diverged sequences and to infer their function. While such studies enabled the detection of conserved sequences in large genomes
Can a Biologist Fix a Radio? 鈥?or,  What I Learned while Studying Apoptosis
Biodiversity loss and the taxonomic bottleneck: emerging biodiversity science, Abstract聽聽Human domination of the Earth has resulted in dramatic changes to global and local patterns of biodiversity. Biodiversity is critical to human sustainability because it drives the ecosystem services that provide the core of our life-support system. As we
Unsupervised natural experience rapidly alters invariant object representation in visual cortex., Object recognition is challenging because each object produces myriad retinal images. Responses of neurons from the inferior temporal cortex (IT) are selective to different objects
Orbitofrontal cortex and its contribution to decision-making., Damage to orbitofrontal cortex (OFC) produces an unusual pattern of deficits. Patients have intact cognitive abilities but are impaired in making everyday decisions. Here we review anatomical
Genetic reconstruction of a functional transcriptional regulatory network, Although global analyses of transcription factor binding provide one view of potential transcriptional regulatory networks1
Yeast genome duplication was followed by asynchronous differentiation of duplicated genes., Gene redundancy has been observed in yeast
Observation of a single-beam gradient force optical trap for dielectric particles, Optical trapping of dielectric particles by a single-beam gradient force trap was demonstrated for the first reported time. This confirms the concept of negative light pressure due to the gradient force. Trapping was observed over the entire range of particle size from 10 碌m to ~25 nm in water. Use of the new trap extends the size range of macroscopic particles accessible to optical trapping and manipulation well into the Rayleigh size regime. Application of this trapping principle to atom trapping is considered."
Identifying reasons for software changes using historic databases, Large scale software products must constantly change in order to adapt to a changing environment. Studies of historic data from legacy software systems have identified three specific causes of this change: adding new features; correcting faults; and restructuring code to accommodate future changes. Our hypothesis is that a textual description field of a change is essential to understanding why that change was performed. Also
Nothing about protein structure classification makes sense except in the light of evolution,  In this
Systematic determination of genetic network architecture, Technologies to measure whole-genome m{RNA} abundances and methods to organize and display such data are emerging as valuable tools for systems-level exploration of transcriptional regulatory networks. {F}or instance
Localization of Knowledge and the Mobility of Engineers in Regional Networks, Knowledge
In vitro reprogramming of fibroblasts into a pluripotent ES-cell-like state, Nuclear transplantation can reprogramme a somatic genome back into an embryonic epigenetic state
THE ENGINEERING OF GENE REGULATORY NETWORKS, 鈻?Abstract鈥?The rapid accumulation of genetic information and advancement of experimental techniques have opened a new frontier in biomedical engineering. With the availability of well-characterized components from natural gene networks
Signals in social supernets, Social network sites (SNSs) provide a new way to organize and navigate an egocentric social network. Are they a fad
Gene regulatory networks in the evolution and development of the heart., The heart
Genre,  task
Worldwide Human Relationships Inferred from Genome-Wide Patterns of Variation, Human genetic diversity is shaped by both demographic and biological factors and has fundamental implications for understanding the genetic basis of diseases. We studied 938 unrelated individuals from 51 populations of the Human Genome Diversity Panel at 650
Self-similarity of complex networks and hidden metric spaces, We demonstrate that the self-similarity of some scale-free networks with respect to a simple degree-thresholding renormalization scheme finds a natural interpretation in the assumption that network nodes exist in hidden metric spaces. Clustering
Electronic Groups at Work, This paper considers how computer-based communication technology
Modern Social Imaginaries (Public Planet), {One of the most influential philosophers in the English-speaking world
Models and Methods in Social Network Analysis, Models and Methods in Social Network Analysis presents the most important developments in quantitative models and methods for analyzing social network data that have appeared during the 1990s. Intended as a complement to Wasserman and Faust's Social Network Analysis: Methods and Applications
User modeling via stereotypes, This paper addresses the problems that must be considered if computers are going to treat their users as individuals with distinct personalities
On-demand multipath routing for mobile ad hoc networks, Mobile ad hoc networks are characterized by multi-hop wireless links
Signatures of mutation and selection in the cancer genome, The cancer genome is moulded by the dual processes of somatic mutation and selection. Homozygous deletions in cancer genomes occur over recessive cancer genes
Activity-based computing for medical work in hospitals, Studies have revealed that people organize and think of their work in terms of activities that are carried out in pursuit of some overall objective
Decisions under uncertainty: probabilistic context influences activation of prefrontal and parietal cortices., Many decisions are made under uncertainty; that is
Using structural context to recommend source code examples, When coding to a framework
A Review of the Integrate-and-fire Neuron Model: I. Homogeneous Synaptic Input., Abstract  The integrate-and-fire neuron model is one of the most widely used models for analyzing the behavior of neural systems. It describes the membrane potential of a neuron in terms of the synaptic inputs and the injected current that it receives. An action potential (spike) is generated when the membrane potential reaches a threshold
Observation of strong coupling between one atom and a monolithic microresonator, Over the past decade
Search in weighted complex networks, We study complex trade-offs presented by local search algorithms in complex networks which are heterogeneous in edge weights and node degree. We show that search based on a novel network measure
Language evolution: consensus and controversies., Why is language the way it is? How did language come to be this way? And why is our species alone in having complex language? These are old unsolved questions that have seen a renaissance in the dramatic recent growth in research being published on the origins and evolution of human language. This review provides a broad overview of some of the important current work in this area. We highlight new methodologies (such as computational modeling)
Evaluation of recommender systems: A new approach, It is difficult to deny that comparison between recommender systems requires a common way for evaluating them. Nevertheless
Concordant regulation of translation and mRNA abundance for hundreds of targets of a human microRNA., MicroRNAs (miRNAs) regulate gene expression posttranscriptionally by interfering with a target mRNA's translation
The role of knowledge in discourse comprehension: a construction-integration model., In contrast to expectation-based
Methods for comparing rankings of search engine results, In this paper we present a number of measures that compare rankings of search engine results. We apply these measures to five queries that were monitored daily for two periods of 14 or 21 days each. Rankings of the different search engines (Google
Virtual Time, Virtual time  is a new paradigm for organizing and synchronizing distributed systems which can be applied to such problems as distributed discrete event simulation and distributed database concurrency control. Virtual time provides a flexible abstraction of real time in much the same way that virtual memory provides an abstraction of real memory. It is implemented using the Time Warp mechanism
Relational Quantum Mechanics, Abstract聽聽I suggest that the common unease with taking quantum mechanics as a fundamental description of nature (the {芒}陇陆measurement problem{芒}陇&#65533;) could derive from the use of an incorrect notion
